file,line,type,commit,author,date,time,timezone,datetime,depth,length
bikewatching/global.css,1,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,7
bikewatching/global.css,2,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,20
bikewatching/global.css,3,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,15
bikewatching/global.css,4,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,17
bikewatching/global.css,5,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,19
bikewatching/global.css,6,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,24
bikewatching/global.css,7,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,16
bikewatching/global.css,8,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,18
bikewatching/global.css,9,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,27
bikewatching/global.css,10,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,25
bikewatching/global.css,11,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,45
bikewatching/global.css,12,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,1
bikewatching/global.css,13,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,0
bikewatching/global.css,14,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,3
bikewatching/global.css,15,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,23
bikewatching/global.css,16,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,1
bikewatching/global.css,17,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,0
bikewatching/global.css,18,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,6
bikewatching/global.css,19,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,10
bikewatching/global.css,20,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,18
bikewatching/global.css,21,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,84
bikewatching/global.css,22,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,18
bikewatching/global.css,23,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,11
bikewatching/global.css,24,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,2,84
bikewatching/global.css,25,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,2,5
bikewatching/global.css,26,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,1
bikewatching/global.css,27,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,0
bikewatching/global.css,28,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,3
bikewatching/global.css,29,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,15
bikewatching/global.css,30,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,1
bikewatching/global.css,31,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,0
bikewatching/global.css,32,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,14
bikewatching/global.css,33,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,37
bikewatching/global.css,34,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,38
bikewatching/global.css,35,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,28
bikewatching/global.css,36,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,17
bikewatching/global.css,37,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,7
bikewatching/global.css,38,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,12
bikewatching/global.css,39,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,1
bikewatching/global.css,40,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,0
bikewatching/global.css,41,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,5
bikewatching/global.css,42,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,14
bikewatching/global.css,43,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,16
bikewatching/global.css,44,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,12
bikewatching/global.css,45,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,20
bikewatching/global.css,46,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,18
bikewatching/global.css,47,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,20
bikewatching/global.css,48,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,1,22
bikewatching/global.css,49,css,d3ed76d0,Harshini,2026-05-15,23:32:53,-07:00,2026-05-15T23:32:53-07:00,0,1
